"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL2036604";"";"None";"563.06";"2";"6.36";"21";"Clc1ccc(-c2ccc(C3=NOC(c4ccc(-c5cncnc5)cc4)N3c3ccc(N4CCNCC4)cc3)o2)cc1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"12.43";"0.23";"0.64";"8.86";"0";"CHEMBL2040538";"Inhibition of MK2 using 5TAMRA-KKLNRTLSVA-COOH as substrate incubated for 30 mins prior to substrate addition measured after 30 mins by immobilized metal ion affinity-based fluorescence polarization assay in presence of 100 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034849";"1";"Scientific Literature";"ACS Med Chem Lett";"2012";"None";""
"CHEMBL1801380";"";"None";"428.49";"0";"3.34";"10I";"O=C1NCc2[nH]c3c(ccc4cnc(-c5cccc(OCCN6CCOCC6)c5)cc43)c21";"IC50";"'='";"1280.0";"nM";"5.89";"";"";"UO_0000065";"13.75";"0.25";"2.55";"7.41";"0";"CHEMBL1805903";"Inhibition of MK2 in human THP-1 cells assessed as inhibition of anisomycin stimulated ser78-hsp27 phosphorylation after 10 mins by FACS analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"THP-1";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800003";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307574";""
"CHEMBL253881";"";"None";"535.56";"1";"3.61";"10j";"NC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL928653";"Inhibition of MK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141528";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";""
"CHEMBL4568087";"";"None";"421.53";"0";"2.86";"19";"Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1";"IC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"15.20";"0.29";"3.55";"6.21";"0";"CHEMBL4479749";"Inhibition of full-length recombinant human His-tagged MAPKAPK2 expressed in Escherichia coli by Z'-LYTE assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4477252";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL1783671";"";"None";"307.81";"0";"2.51";"6a";"Cc1ccccc1NC(=S)NCc1nc(Cl)cnc1N";"IC50";"'='";"3600.0";"nM";"5.44";"";"";"UO_0000065";"17.69";"0.37";"2.93";"7.18";"0";"CHEMBL1786602";"Inhibition of MK2 using biotin-LCAYSRALSRQLSSGVSEIRH substrate";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1782048";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";""
"CHEMBL511219";"";"None";"386.43";"0";"1.97";"29";"CC(Nc1c(Nc2ccncc2)c(=O)c1=O)c1cccc(NS(C)(=O)=O)c1";"IC50";"'='";"24000.0";"nM";"4.62";"";"";"UO_0000065";"11.96";"0.23";"2.65";"3.94";"0";"CHEMBL1011420";"Inhibition of human recombinant MK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136863";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL1801279";"";"None";"360.39";"0";"3.19";"13E";"O=C1NC2(CC2)Cc2[nH]c3c(c21)CCc1cnc(-c2ccc(F)nc2)cc1-3";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"16.53";"0.30";"2.77";"8.43";"0";"CHEMBL1805887";"Inhibition of MK2 mediated anisomycin-stimulated hsp27 phosphorylation in human THP-1 cells by fluorometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"THP-1";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1799987";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307574";""
"CHEMBL1209008";"";"None";"412.51";"1";"5.54";"2g";"CN1CCN(c2ccc(Nc3ccnc4ccc(-c5ccc(F)cc5)cc34)cc2)CC1";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"14.92";"0.27";"0.61";"19.60";"0";"CHEMBL1211491";"Inhibition of MK2 assessed as inhibition of [33P]ATP incorporation in to substrate after 30 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208789";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";""
"CHEMBL2036607";"";"None";"562.07";"2";"6.97";"24";"Clc1ccc(-c2ccc(C3=NOC(c4ccccc4-c4cccnc4)N3c3ccc(N4CCNCC4)cc3)o2)cc1";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"12.00";"0.22";"-0.23";"10.20";"0";"CHEMBL2040538";"Inhibition of MK2 using 5TAMRA-KKLNRTLSVA-COOH as substrate incubated for 30 mins prior to substrate addition measured after 30 mins by immobilized metal ion affinity-based fluorescence polarization assay in presence of 100 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034849";"1";"Scientific Literature";"ACS Med Chem Lett";"2012";"None";""
"CHEMBL225519";"";"None";"213.24";"0";"1.36";"1, PHA-767491";"O=C1NCCc2[nH]c(-c3ccncc3)cc21";"IC50";"'='";"470.0";"nM";"6.33";"";"";"UO_0000065";"29.68";"0.54";"4.97";"10.95";"0";"CHEMBL1226916";"Inhibition of Mk2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2208";"MAP kinase-activated protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221210";"1";"Scientific Literature";"Nat Chem Biol";"2008";"None";""
